#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	91.968
firstFrontCount	5
frontCount	33
avgEvalTime	11.8865
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
522591	28.6932	0.336119	0.906188	0.927905	17882.2	-0.509657	-1.00003	0	0	0	
207916	10	0.389891	0.696282	0.866569	38196.4	-0.277423	-1.00122	0	0	0	
707799	48.0354	0.593276	0.937801	0.915991	10046	-0.621085	-0.999645	0	0	0	
524221	45.4051	0.182357	1.47134	0.473486	16108.8	-0.563541	-0.999983	0	0	0	
499705	40.7637	0.223171	1.40315	0.398285	19203	-0.489728	-1.00011	0	0	0	
522591	28.6932	0.336119	0.906188	0.927905	17882.2	-0.509657	-1.00003	0	0	0	
202106	48.0354	0.548747	0.966855	0.960494	10046	-0.605263	-0.999933	0	0	0	
707799	47.5334	0.532708	0.874292	0.915991	10000	-0.609069	-0.999796	0	0	0	
198728	10	0.311043	1.09432	0.661512	40540.2	-0.322461	-1.0011	0	0	0	
272587	10	0.881652	0.246072	0.910556	10046	-0.183532	-1.00121	0	0	0	
181741	273.807	0.160584	0.63391	0.440085	31085.7	-0.61915	-0.933155	0	0	0	
198728	75.1255	0.408005	1.05665	0.801624	40540.2	-0.610917	-0.997236	0	0	0	
588278	45.4051	0.182357	1.89624	0.511421	33493.5	-0.611452	-0.933319	0	0	0	
180672	10	0.47647	0.729271	0.759253	12708.6	-0.241613	-1.0003	0	0	0	
198728	72.9555	0.406488	0.951909	0.365816	40540.2	-0.376193	-1.00025	0	0	0	
464604	53.4859	0.203072	1.3959	0.423756	20141.9	-0.537209	-0.999958	0	0	0	
513422	45.4051	0.297896	1.43568	0.486281	16108.8	-0.479228	-1.00003	0	0	0	
245336	10	0.387208	0.279036	0.598524	36046.8	-0.189494	-1.0004	0	0	0	
198728	72.8343	0.408005	1.04994	0.491283	40540.2	-0.424211	-1.00023	0	0	0	
504456	45.4051	0.262156	1.47134	0.383529	16519.5	-0.469281	-1.00004	0	0	0	



#Generation 6 / 60
currentGen	6
evaluateCount	240
totalTime	750.419
firstFrontCount	6
frontCount	4
avgEvalTime	18.9883
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
375003	186.979	0.424428	0.279036	0.976324	28837	-0.711857	-0.999939	0	0	0	
184076	40.2215	0.343869	0.951909	0.795237	40540.2	-0.531841	-1.00176	0	0	0	
659020	51.705	0.184998	1.11405	0.792301	10046	-0.668114	-0.999952	0	0	0	
637551	36.8698	0.184998	0.937801	0.842591	37606.4	-0.596412	-1.00069	0	0	0	
287401	186.979	0.424428	0.419034	1	28837	-0.839024	-0.999524	0	0	0	
367649	45.4051	0.203452	1.36958	0.826008	15500.4	-0.660257	-1.00022	0	0	0	
264348	69.0468	0.11275	0.866585	0.316169	19081	-0.558929	-1.0003	0	0	0	
540475	47.8854	0.336119	0.906188	0.927905	19924.8	-0.639865	-0.999687	0	0	0	
707799	47.5334	0.47647	0.874292	0.915991	10046	-0.615713	-0.999844	0	0	0	
222529	42.734	0.343869	1.05665	0.565569	41399.3	-0.449883	-1.00093	0	0	0	
570993	47.2835	0.272719	1.29418	0.761315	10046	-0.61433	-0.999948	0	0	0	
264348	69.0468	0.11275	0.825775	0.316169	17902.1	-0.551218	-1.00037	0	0	0	
457666	42.2158	0.184998	0.937801	0.792301	15614.3	-0.569457	-1.00022	0	0	0	
537389	47.0328	0.115961	1.05658	0.610442	16236.9	-0.610035	-1.00016	0	0	0	
198728	75.1255	0.408005	1.05665	0.938184	44795.4	-0.769442	-0.986868	0	0	0	
307809	69.0468	0.11275	0.962458	0.316169	19081	-0.57564	-1.00017	0	0	0	
375003	193.753	0.384237	0.279036	0.976324	17329.6	-0.703435	-0.999529	0	0	0	
198728	10	0.311043	1.09432	0.940621	40540.2	-0.362877	-1.00169	0	0	0	
644438	68.659	0.184998	0.356776	0.966807	29657.1	-0.53182	-1.00056	0	0	0	
198728	10	0.343869	1.05665	0.801624	40540.2	-0.332528	-1.00159	0	0	0	
198728	23.823	0.343869	0.796924	0.482504	37737	-0.342529	-1.00109	0	0	0	
375003	145.496	0.424428	0.279036	0.976324	28837	-0.643542	-0.999231	0	0	0	
524221	45.4051	0.0691164	1.40542	0.315628	19338.9	-0.656339	-0.998295	0	0	0	
377110	45.4051	0.255997	1.36958	0.538398	16286.3	-0.511909	-1.00017	0	0	0	
310605	64.5183	0.343869	0.951909	0.482504	38072.7	-0.442366	-1.0003	0	0	0	
707799	48.0354	0.593276	0.937801	0.915991	10046	-0.621085	-0.999645	0	0	0	
202106	48.0354	0.548747	0.966855	0.960494	10046	-0.605263	-0.999933	0	0	0	
707799	47.5334	0.532708	0.874292	0.915991	10000	-0.609069	-0.999796	0	0	0	
555253	45.4051	0.0675414	1.71252	0.315628	19338.9	-0.700435	-0.986772	0	0	0	
135854	92.3464	0.343869	1.31814	0.482504	10584.8	-0.464454	-1.0003	0	0	0	
188260	10	0.343869	1.05665	0.801624	40540.2	-0.334623	-1.00156	0	0	0	
184076	40.2215	0.343869	1.10654	0.449103	40540.2	-0.411294	-1.00075	0	0	0	
490682	45.4343	0.184998	1.0038	0.792301	14250.5	-0.601769	-1.0001	0	0	0	
250845	23.823	0.286782	0.796924	0.482504	37737	-0.356587	-1.00091	0	0	0	
403223	109.793	0.427928	0.936195	0.800021	12766	-0.626988	-0.999091	0	0	0	
207916	10	0.389891	0.696282	0.866569	38196.4	-0.277423	-1.00122	0	0	0	
198728	10	0.28376	1.05665	0.801624	43687.3	-0.344199	-1.00077	0	0	0	
637551	45.4343	0.184998	0.937801	0.792301	10046	-0.598354	-1.00009	0	0	0	
198728	72.9555	0.343869	0.951909	0.482504	40540.2	-0.44955	-1.00029	0	0	0	
198728	10	0.311043	1.09432	0.661512	40540.2	-0.322461	-1.0011	0	0	0	



#Generation 7 / 60
currentGen	7
evaluateCount	280
totalTime	1024.3
firstFrontCount	8
frontCount	4
avgEvalTime	35.3709
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
184076	40.2215	0.343869	0.951909	0.795237	40540.2	-0.531841	-1.00176	0	0	0	
659020	51.705	0.184998	1.11405	0.792301	10046	-0.668114	-0.999952	0	0	0	
637551	36.8698	0.184998	0.937801	0.842591	37606.4	-0.596412	-1.00069	0	0	0	
287401	186.979	0.424428	0.419034	1	28837	-0.839024	-0.999524	0	0	0	
367649	45.4051	0.203452	1.36958	0.826008	15500.4	-0.660257	-1.00022	0	0	0	
287401	249.031	0.400258	0.266246	1	22806	-0.778023	-0.999952	0	0	0	
198728	10	0.354678	1.09432	1	40168.2	-0.37035	-1.00226	0	0	0	
198728	62.7269	0.343869	0.796924	0.831559	37809.6	-0.58787	-1.00136	0	0	0	
375003	186.979	0.424428	0.279036	0.976324	28837	-0.711857	-0.999939	0	0	0	
264348	69.0468	0.11275	0.866585	0.316169	19081	-0.558929	-1.0003	0	0	0	
222529	42.734	0.343869	1.05665	0.565569	41399.3	-0.449883	-1.00093	0	0	0	
264348	69.0468	0.11275	0.825775	0.316169	17902.1	-0.551218	-1.00037	0	0	0	
457666	42.2158	0.184998	0.937801	0.792301	15614.3	-0.569457	-1.00022	0	0	0	
537389	47.0328	0.115961	1.05658	0.610442	16236.9	-0.610035	-1.00016	0	0	0	
307809	69.0468	0.11275	0.962458	0.316169	19081	-0.57564	-1.00017	0	0	0	
198728	10	0.311043	1.09432	0.940621	40540.2	-0.362877	-1.00169	0	0	0	
644438	68.659	0.184998	0.356776	0.966807	29657.1	-0.53182	-1.00056	0	0	0	
375003	187.507	0.408407	0.431824	0.976324	23360.7	-0.819879	-0.999443	0	0	0	
246811	10	0.311043	1.09432	0.929471	40540.2	-0.353254	-1.00183	0	0	0	
379939	42.734	0.279742	1.05665	0.565569	41399.3	-0.483947	-1.00073	0	0	0	
307809	56.2286	0.11275	0.97839	0.318933	16722.4	-0.549713	-1.00039	0	0	0	
537454	59.8511	0.115961	1.04065	0.610442	18595.5	-0.655638	-1.00001	0	0	0	
570993	47.2835	0.272719	1.29418	0.761315	10046	-0.61433	-0.999948	0	0	0	
198728	75.1255	0.408005	1.05665	0.938184	44795.4	-0.769442	-0.986868	0	0	0	
375003	193.753	0.384237	0.279036	0.976324	17329.6	-0.703435	-0.999529	0	0	0	
198728	10	0.343869	1.05665	0.801624	40540.2	-0.332528	-1.00159	0	0	0	
377110	45.4051	0.255997	1.36958	0.538398	16286.3	-0.511909	-1.00017	0	0	0	
310605	64.5183	0.343869	0.951909	0.482504	38072.7	-0.442366	-1.0003	0	0	0	
135854	92.3464	0.343869	1.31814	0.482504	10584.8	-0.464454	-1.0003	0	0	0	
