#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	7.60768
firstFrontCount	40
frontCount	1
avgEvalTime	1.28454
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
309874	142.08	0.309732	0.289278	0.769519	46741.1	100000	100000	1	1	1	
494214	951.538	0.20958	1.27403	0.535969	41090.4	100000	100000	1	1	1	
357823	828.126	0.99	1.27403	0.501631	41118.2	100000	100000	1	1	1	
620982	173.154	0.052803	0.912175	0.245357	27786.6	100000	100000	1	1	1	
606773	181.253	0.0710949	0.712479	0.35073	29346.9	100000	100000	1	1	1	
361368	237.393	0.0893942	0.978643	0.444308	43852	100000	100000	1	1	1	
508486	639.044	0.312246	0.830222	0.209341	29478.9	100000	100000	1	1	1	
329514	212.364	0.324388	0.912175	0.211629	29478.9	100000	100000	1	1	1	
476118	166.806	0.260931	2	0.414619	45047.3	100000	100000	1	1	1	
773368	783.791	0.115479	0.872427	0.253975	13552.8	100000	100000	1	1	1	
647623	242.534	0.838449	1.61533	0.631492	40955.7	100000	100000	1	1	1	
876350	951.538	0.218057	1.4681	0.406264	38751.8	100000	100000	1	1	1	
479387	371.533	0.74017	1.443	0.42992	44895.6	100000	100000	1	1	1	
454284	717.137	0.227826	1.07748	0.810477	43491.7	100000	100000	1	1	1	
304167	142.08	0.207378	0.289278	0.585959	46741.1	100000	100000	1	1	1	
434504	786.172	0.740094	1.4013	0.6851	23542.7	100000	100000	1	1	1	
718894	92.3732	0.540177	1.51586	0.714646	28777.8	100000	100000	1	1	1	
633755	647.492	0.326842	1.59942	0.424803	43491.7	100000	100000	1	1	1	
812583	281.215	0.670383	1.23058	0.454409	44895.6	100000	100000	1	1	1	
844684	570.474	0.529226	1.151	0.87861	16652.3	100000	100000	1	1	1	
773368	783.791	0.0378682	0.918879	0.253975	13606.7	100000	100000	1	1	1	
675139	318.345	0.818519	0.545598	0.659206	32942.7	100000	100000	1	1	1	
939849	220.987	0.416393	1.67908	0.529468	31997	100000	100000	1	1	1	
691527	220.987	0.44651	1.51586	0.66551	21975.8	100000	100000	1	1	1	



#Generation 5 / 60
currentGen	5
evaluateCount	200
totalTime	16.8381
firstFrontCount	40
frontCount	1
avgEvalTime	0.419758
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
601560	104.988	0.549034	1.17648	0.431981	25610.9	100000	100000	1	1	1	
567141	647.492	0.326842	1.59942	0.424803	31716.6	100000	100000	1	1	1	
484368	212.364	0.0813476	0.956455	0.136356	41254	100000	100000	1	1	1	
817570	371.533	0.623393	0.994648	0.531605	40558.8	100000	100000	1	1	1	
689276	281.215	0.608486	1.11084	0.469968	28583.5	100000	100000	1	1	1	
309874	362.023	0.354314	0.289278	0.653705	46741.1	100000	100000	1	1	1	
643565	151.591	0.347617	0.994648	0.584326	22912.4	100000	100000	1	1	1	
504683	686.383	0.347831	1.07748	0.428473	42684.4	100000	100000	1	1	1	
598861	104.988	0.598937	1.151	0.439047	31377.2	100000	100000	1	1	1	
629543	371.533	0.63683	1.12784	0.625853	14246.3	100000	100000	1	1	1	
356216	909.988	0.302664	1.2951	0.503366	35725.5	100000	100000	1	1	1	
309874	142.08	0.309732	0.289278	0.769519	46741.1	100000	100000	1	1	1	
876350	918.062	0.218057	1.4681	0.406264	34373.4	100000	100000	1	1	1	
826417	960.883	0.353399	1.27026	0.637533	36844.4	100000	100000	1	1	1	
356216	909.988	0.306263	0.832432	0.543326	38751.8	100000	100000	1	1	1	
352111	639.044	0.312246	0.695662	0.34354	29478.9	100000	100000	1	1	1	
515987	785.727	0.99	1.27403	0.335965	39379.7	100000	100000	1	1	1	
852142	361.32	0.836535	2	0.377296	45019.9	100000	100000	1	1	1	
418024	234.071	0.260931	1.26929	0.417358	44923	100000	100000	1	1	1	
532725	166.806	0.191401	1.77797	0.563208	44345.7	100000	100000	1	1	1	
538487	647.492	0.326842	1.82145	0.280275	44193.2	100000	100000	1	1	1	
419460	136.813	0.258845	0.546363	0.336315	29047.2	100000	100000	1	1	1	
691493	119.119	0.540177	1.15854	0.46722	34591.6	100000	100000	1	1	1	
508486	160.685	0.312246	0.592078	0.684024	29478.9	100000	100000	1	1	1	
691527	569.121	0.527955	1.49573	0.190827	27302.7	100000	100000	1	1	1	
583213	104.988	0.40185	1.151	0.431981	31643.7	100000	100000	1	1	1	
578011	717.137	0.424914	1.07748	0.810477	43491.7	100000	100000	1	1	1	
663651	951.538	0.218057	1.36471	0.406264	38751.8	100000	100000	1	1	1	
623637	909.988	0.302664	1.39849	0.501032	38751.8	100000	100000	1	1	1	
906586	951.538	0.218057	1.33512	0.692169	38751.8	100000	100000	1	1	1	
805568	132.785	0.647998	0.889064	0.444474	41536.7	100000	100000	1	1	1	
633755	647.492	0.326842	1.59942	0.424803	43491.7	100000	100000	1	1	1	
803731	570.474	0.529226	1.53062	0.87861	16652.3	100000	100000	1	1	1	
581669	371.533	0.0246886	1.01422	0.39256	28786.8	100000	100000	1	1	1	
606177	171.356	0.575632	0.712479	0.96834	29346.9	100000	100000	1	1	1	
419224	128.166	0.243618	0.758937	0.147224	30406.3	100000	100000	1	1	1	
691527	10	0.44651	1.30328	0.642584	29773.8	100000	100000	1	1	1	
795745	371.533	0.559683	1.09863	1	22912.4	100000	100000	1	1	1	
597911	174.522	0.670383	1.32284	0.454409	44895.6	100000	100000	1	1	1	
691527	220.987	0.44651	1.51586	0.66551	21975.8	100000	100000	1	1	1	



#Generation 6 / 60
currentGen	6
evaluateCount	240
totalTime	18.8348
firstFrontCount	40
frontCount	1
avgEvalTime	0.355809
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
814223	371.533	0.511767	0.843623	0.531605	40558.8	100000	100000	1	1	1	
506064	374.877	0.0813476	1.12028	0.659654	19097.9	100000	100000	1	1	1	
584481	171.356	0.575632	0.461088	0.445042	40465.8	100000	100000	1	1	1	
803731	570.474	0.422809	1.43232	0.87861	16652.3	100000	100000	1	1	1	
373909	692.862	0.423159	0.970063	0.34354	29478.9	100000	100000	1	1	1	
478765	278.598	0.249868	1.27412	0.456045	44923	100000	100000	1	1	1	
311851	890.392	0.99	1.2692	0.335965	39379.7	100000	100000	1	1	1	
578011	508.53	0.55706	0.923223	0.810477	43491.7	100000	100000	1	1	1	
663651	910.511	0.218057	1.36471	0.524083	38751.8	100000	100000	1	1	1	
761669	909.988	0.661375	1.2951	0.609612	14373.6	100000	100000	1	1	1	
429510	371.533	0.236299	1.12784	0.519606	35598.2	100000	100000	1	1	1	
640633	362.555	0.01	1.49573	0.397643	27302.7	100000	100000	1	1	1	
659090	578.099	0.468856	1.01422	0.185744	28301.3	100000	100000	1	1	1	
419224	58.7212	0.243618	0.758937	0.271233	30406.3	100000	100000	1	1	1	
957164	570.474	0.529226	1.53062	0.754601	16652.3	100000	100000	1	1	1	
484368	212.364	0.0813476	0.956455	0.510361	41254	100000	100000	1	1	1	
365932	974.57	0.306263	0.868799	0.148497	36724.1	100000	100000	1	1	1	
